"","date","mktRF","size","BM"
"444","19910726","-2.0260","-0.2677","-0.4257"
"445","19910727","3.8725","-0.7298","1.6749"
"446","19910729","0.7562","0.9503","-0.2865"
"447","19910730","0.8640","0.6235","-0.1947"
"448","19910731","-1.1084","-0.1809","-0.9377"
"449","19910801","-0.7471","-0.1333","0.6495"
"450","19910802","-2.5110","-0.8091","-0.7434"
"451","19910803","1.1018","-0.9524","0.8822"
"452","19910805","-3.6770","-0.5626","0.4255"
"453","19910806","0.3245","-0.3095","2.3001"
"454","19910807","-1.0542","-0.5044","0.2561"
"455","19910808","0.5485","-0.3288","0.4316"
"456","19910809","5.6662","0.0542","1.0908"
"457","19910810","1.0826","-0.5431","-0.4770"
"458","19910812","-0.8437","0.7157","0.5698"
"459","19910813","-1.0387","0.5780","-0.3784"
"460","19910814","-0.3870","0.0504","0.3868"
"461","19910815","-2.4240","-0.3623","-0.7357"
"462","19910816","-1.3164","-0.3786","0.3222"
"463","19910817","-1.0816","0.1821","-0.3035"
"464","19910819","-4.2287","0.2572","-0.4253"
"465","19910820","-4.9862","-1.0908","-0.1467"
"466","19910821","-0.5462","0.0823","-0.4047"
"467","19910822","6.7537","-0.0770","0.1174"
"468","19910823","-3.5797","0.8601","0.1507"
"469","19910824","-0.0342","-0.1094","0.2810"
"470","19910826","-0.2044","-0.2058","0.2103"
"471","19910827","-2.3394","-0.3192","-0.7792"
"472","19910828","-1.3403","-0.7696","0.6587"
"473","19910829","0.0717","-0.0819","0.3222"
"474","19910830","4.8512","0.4072","1.2805"
"475","19910831","-0.6499","0.2517","-0.1497"
"476","19910902","2.8127","-0.0022","-0.9267"
"477","19910903","-1.0513","-0.0935","-0.5059"
"478","19910904","-2.6282","-0.3513","0.3352"
"479","19910905","0.1138","-0.5766","0.4639"
"480","19910906","2.4677","-0.4069","0.0564"
"481","19910907","1.7480","-0.3423","0.1147"
"482","19910909","-0.1136","0.5194","-0.0260"
"483","19910910","0.3510","-0.4131","0.8959"
"484","19910911","-1.0693","0.0835","-0.4270"
"485","19910912","-0.1932","-0.2459","-0.7343"
"486","19910913","-2.5875","-0.0513","-0.5777"
"487","19910914","-0.2399","-0.1246","0.1306"
"488","19910916","0.7416","0.1324","0.8061"
"489","19910917","-0.7092","-0.3282","-0.1472"
"490","19910918","2.2676","0.2369","0.3568"
"491","19910919","-1.0137","-0.1203","0.2646"
"492","19910920","1.2676","-0.4448","0.1782"
"493","19910921","1.8904","0.3244","0.3623"
"494","19910924","1.4720","0.1977","-0.7580"
"495","19910925","-0.4425","0.3387","-0.4871"
"496","19910926","0.9768","0.2143","-1.0880"
"497","19910927","0.1731","-0.5432","0.1086"
"498","19910930","0.3128","-0.6248","0.3447"
"499","19911001","-0.2143","-0.0783","-0.2426"
"500","19911002","-0.6143","0.2967","-0.1008"
"501","19911003","-2.1398","-0.2008","-0.0531"
"502","19911004","0.3818","0.1401","0.4464"
"503","19911005","1.0467","-0.3860","0.0033"
"504","19911007","0.4209","0.0730","0.3714"
"505","19911008","0.6909","-0.0236","-0.6966"
"506","19911009","-0.4336","-0.4613","-0.1747"
"507","19911011","-0.2459","-0.3885","-0.0634"
"508","19911012","0.2223","0.0862","0.2593"
"509","19911014","-5.6067","-0.6309","-0.4194"
"510","19911015","0.4175","-0.2886","-0.0167"
"511","19911016","-5.6784","-0.6690","-0.8095"
"512","19911017","-0.1741","-1.2790","-0.5031"
"513","19911018","0.6836","0.0597","0.1444"
"514","19911019","1.2144","0.5118","-0.3852"
"515","19911021","-2.2833","0.0807","-0.3313"
"516","19911022","-4.9547","-0.7943","-1.2591"
"517","19911023","1.1287","0.2630","0.1673"
"518","19911024","2.8445","0.4444","1.7594"
"519","19911028","2.9909","1.0132","0.7633"
"520","19911029","-0.4877","0.9294","0.2476"
"521","19911030","0.6710","0.7018","0.1701"
"522","19911101","-1.4571","-0.1032","-1.3733"
"523","19911102","-0.7292","-0.1583","0.5357"
"524","19911104","-0.5895","0.6340","-0.7328"
"525","19911105","3.2996","1.2634","0.7176"
"526","19911106","0.0926","1.0712","-0.4596"
"527","19911107","-0.1904","-1.5611","-0.7738"
"528","19911108","0.3426","0.3391","0.7961"
"529","19911109","1.2096","0.7492","0.1231"
"530","19911111","-0.0865","-0.9221","-0.0047"
"531","19911113","-0.5459","-0.2962","1.2055"
"532","19911114","0.4772","0.3618","0.0428"
"533","19911115","0.4431","0.1750","-0.7672"
"534","19911116","-1.5188","0.2674","-0.3537"
"535","19911118","-0.5510","0.4799","0.2332"
"536","19911119","1.2935","-0.6995","-0.4697"
"537","19911120","-0.0186","0.4497","-0.1640"
"538","19911121","0.5203","0.5580","-0.4371"
"539","19911122","1.0209","0.6280","-0.3040"
"540","19911123","-0.9345","0.9028","-0.8578"
"541","19911125","0.5729","1.3785","-0.6577"
"542","19911126","-0.1900","0.9158","-0.8434"
"543","19911127","-1.2894","-1.1902","0.8680"
"544","19911128","-0.3707","0.4183","-0.2874"
"545","19911129","-1.4017","-0.8252","0.8428"
"546","19911130","-0.2878","-0.0349","-0.7244"
"547","19911202","-0.5238","-0.6948","-1.8113"
"548","19911203","-0.2779","-0.7180","0.5779"
"549","19911204","0.7310","0.7555","0.5260"
"550","19911205","-0.8880","0.3580","-0.3919"
"551","19911206","1.3207","1.3127","-0.8354"
"552","19911207","2.2941","-1.4019","-2.2650"
"553","19911209","-0.5528","0.6233","0.2985"
"554","19911210","-0.4671","-0.0496","-0.9336"
"555","19911211","-1.2331","-0.1060","0.0019"
"556","19911212","0.7730","0.6297","-0.4916"
"557","19911213","-0.5175","-0.2088","0.8071"
"558","19911214","-0.4020","-0.2158","0.8377"
"559","19911216","-0.1816","-0.5375","0.2803"
"560","19911217","0.1633","-0.2198","0.3993"
"561","19911218","1.3084","0.0209","0.1647"
"562","19911219","0.0772","-0.2790","0.2846"
"563","19911220","-0.4222","-0.2420","0.5424"
"564","19911223","0.2395","0.2992","1.9903"
"565","19911224","-0.2994","0.0927","1.8062"
"566","19911226","1.7964","0.9488","2.3257"
"567","19911227","0.1960","0.1977","-0.1077"
"568","19911228","1.2317","0.3638","0.0448"
"569","19920104","0.1674","0.8956","0.3197"
"570","19920106","1.6966","0.7783","-0.4043"
